客戶,基金,基金簡稱,風險等級,金額,總金額,weight
135485,13,野村歐洲高股息基金-累積類型,RR4,3000,2948661,0.0010174109536498091
135485,14,野村全球不動產證券化基金-累積型新臺幣計價,RR4,3000,2948661,0.0010174109536498091
135485,18,野村台灣運籌基金,RR4,3000,2948661,0.0010174109536498091
135485,20,野村環球基金-新臺幣計價,RR4,3000,2948661,0.0010174109536498091
135485,22,野村鴻揚貨幣市場基金,RR1,22062,2948661,0.007482040153140697
135485,24,野村新馬基金,RR5,3000,2948661,0.0010174109536498091
135485,25,野村貨幣市場基金,RR1,2842599,2948661,0.9640304531446646
135485,27,野村泰國基金,RR5,3000,2948661,0.0010174109536498091
135485,30,野村精選貨幣市場基金,RR1,0,2948661,0.0
135485,36,野村台灣高股息基金,RR4,3000,2948661,0.0010174109536498091
135485,37,野村全球生技醫療基金,RR4,3000,2948661,0.0010174109536498091
135485,46,野村新興傘型之大俄羅斯基金,RR5,3000,2948661,0.0010174109536498091
135485,48,野村中國機會基金,RR5,24000,2948661,0.008139287629198473
135485,51,野村巴西證券投資信託基金,RR5,9000,2948661,0.0030522328609494274
135485,54,野村雙印傘型之印度潛力基金,RR5,3000,2948661,0.0010174109536498091
135485,55,野村雙印傘型之印尼潛力基金,RR5,3000,2948661,0.0010174109536498091
135485,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,3000,2948661,0.0010174109536498091
135485,93,野村日本領先基金-累積類型,RR4,3000,2948661,0.0010174109536498091
136408,A1,野村多元收益平衡基金-月配類型人民幣計價,RR3,337130,337130,1.0
13694,18,野村台灣運籌基金,RR4,0,233000,0.0
13694,20,野村環球基金-新臺幣計價,RR4,13000,233000,0.055793991416309016
13694,27,野村泰國基金,RR5,0,233000,0.0
13694,55,野村雙印傘型之印尼潛力基金,RR5,0,233000,0.0
13694,76,野村動態配置多重資產基金-累積類型新臺幣計價,RR3,200000,233000,0.8583690987124464
13694,77,野村動態配置多重資產基金-月配類型新臺幣計價,RR3,0,233000,0.0
13694,B6,野村亞太收益多重資產基金-累積類型新臺幣計價,RR4,20000,233000,0.08583690987124463
274315,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,0,874221,0.0
274315,22,野村鴻揚貨幣市場基金,RR1,603221,874221,0.6900097343806657
274315,44,野村全球氣候變遷基金,RR4,3000,874221,0.003431626556671597
274315,46,野村新興傘型之大俄羅斯基金,RR5,163000,874221,0.18645170957915677
274315,48,野村中國機會基金,RR5,50000,874221,0.05719377594452661
274315,94,野村全球短期收益基金-新台幣計價,RR2,0,874221,0.0
274315,C9,野村優質基金-S類型新臺幣計價,RR5,2750,874221,0.0031456576769489635
274315,D3,野村鑫全球債券組合基金-S類型,RR3,5500,874221,0.006291315353897927
274315,D4,野村鑫平衡組合基金-S類型,RR4,5500,874221,0.006291315353897927
274315,D7,野村環球基金-S類型新臺幣計價,RR5,30250,874221,0.034602234446438604
274315,E3,野村動態配置多重資產基金-S類型新臺幣計價,RR3,11000,874221,0.012582630707795854
13886,1,野村優質基金-累積類型新臺幣計價,RR4,3000,3000,1.0
140809,7,野村中小基金-累積類型,RR5,3000,59000,0.05084745762711865
140809,8,野村全球品牌基金,RR4,6000,59000,0.1016949152542373
140809,18,野村台灣運籌基金,RR4,6000,59000,0.1016949152542373
140809,27,野村泰國基金,RR5,6000,59000,0.1016949152542373
140809,46,野村新興傘型之大俄羅斯基金,RR5,20000,59000,0.3389830508474576
140809,48,野村中國機會基金,RR5,6000,59000,0.1016949152542373
140809,54,野村雙印傘型之印度潛力基金,RR5,6000,59000,0.1016949152542373
140809,55,野村雙印傘型之印尼潛力基金,RR5,6000,59000,0.1016949152542373
14086,1,野村優質基金-累積類型新臺幣計價,RR4,10000,10000,1.0
14086,9,野村全球高股息基金-累積型新臺幣計價,RR4,0,10000,0.0
141728,18,野村台灣運籌基金,RR4,6000,16000,0.375
141728,20,野村環球基金-新臺幣計價,RR4,5000,16000,0.3125
141728,48,野村中國機會基金,RR5,5000,16000,0.3125
14173,1,野村優質基金-累積類型新臺幣計價,RR4,0,57263,0.0
14173,27,野村泰國基金,RR5,10000,57263,0.1746328344655362
14173,37,野村全球生技醫療基金,RR4,4000,57263,0.06985313378621448
14173,46,野村新興傘型之大俄羅斯基金,RR5,0,57263,0.0
14173,48,野村中國機會基金,RR5,4000,57263,0.06985313378621448
14173,51,野村巴西證券投資信託基金,RR5,4000,57263,0.06985313378621448
14173,54,野村雙印傘型之印度潛力基金,RR5,4000,57263,0.06985313378621448
14173,55,野村雙印傘型之印尼潛力基金,RR5,31260,57263,0.5459022405392662
14173,57,野村亞太複合高收益債基金-月配型新臺幣計價,RR4,3,57263,5.2389850339660864e-05
142891,21,野村鴻利基金,RR4,0,0,
142891,28,野村高科技基金,RR5,0,0,
143389,8,野村全球品牌基金,RR4,3000,164270,0.018262616424179704
143389,20,野村環球基金-新臺幣計價,RR4,18566,164270,0.11302124551044013
143389,27,野村泰國基金,RR5,67947,164270,0.4136299993912461
143389,37,野村全球生技醫療基金,RR4,23517,164270,0.1431606501491447
