Date,AGG,BND,BSV,BNDX,MINT,BIV,NEAR,SCHZ,FTSM,SPAB,BLV,TOTL,IUSB,GVI,ISTB,BOND,IAGG,FBND,VBND,AGGY,RAVI,ILTB,LDUR,FTSD,ULST,FLTB,XMPT,FIBR,MINC,AGZD,NFLT,HOLD,FCOR,BYLD,KCNY,WYDE,SAGG,AGND
2017-07-27,104.649689,78.0065,77.423965,51.797554,98.06864200000001,80.76947,48.572327,49.961433,58.117912,27.455503000000004,86.816711,46.657787,48.650242,107.094444,48.319191,100.47893499999999,49.572936999999996,47.959251,47.597626,48.053726,73.006477,59.062630000000006,96.131927,92.52709200000001,39.030978999999995,48.677853000000006,25.281321,100.5800,46.705887,46.015453,23.486794,96.588882,48.072094,23.545467000000002,31.754542999999998,33.099998,30.716641999999997,41.635227
2017-07-28,104.860001,78.14945999999999,77.462677,51.816601,98.087921,80.902924,48.562668,50.028351,58.117912,27.517446999999997,87.303787,46.705154,48.707481,107.21026599999999,48.328789,100.611244,49.505909,48.016644,47.650172999999995,48.180187,73.035492,59.26804,96.1129,92.555824,39.030978999999995,48.707718,25.439041,100.6500,46.658028,46.025051,23.50506,96.588882,48.300056,23.559528,32.161411,33.099998,30.716641999999997,41.635227
2017-07-31,104.81218,78.139931,77.472351,51.807072,98.097534,80.92199699999999,48.562668,50.076164,58.127598,27.517446999999997,87.313141,46.733582,48.736098999999996,107.219925,48.309582,100.667953,49.572936999999996,47.99752,47.697936999999996,48.199211,73.025826,59.361412,95.960701,92.581779,39.069736,48.774235,25.466875,100.6600,46.725029,46.092255,23.514194,96.588882,48.281055,23.560467000000003,32.133026,33.099998,30.588902,41.635227
2017-08-01,105.099571,78.457657,77.503395,52.014862,98.145821,81.097763,48.570403999999996,50.159515,58.117912,27.578575,87.80171999999999,46.787701,48.811638,107.411324,48.376915000000004,100.933243,49.590221,48.131423999999996,47.793465000000005,48.296207,73.105186,59.614295999999996,96.13799300000001,92.639381,39.113377,48.762671999999995,25.473394,100.5100,46.629298999999996,46.053852,23.605551000000002,96.588882,48.357044,23.593283,32.170871999999996,33.099998,30.657685999999998,41.721641999999996
2017-08-02,105.02291100000001,78.409828,77.484001,51.93861,98.136177,81.069115,48.560749,50.159515,58.137283,27.564251000000002,87.876862,46.75922,48.821194,107.314682,48.367302,100.94272600000001,49.686203000000006,48.140995000000004,47.726585,48.27528,73.0084,59.651749,96.252342,92.581779,39.113377,48.7164,25.547907000000002,100.4600,46.696315999999996,46.236225,23.622906,96.588882,48.349453000000004,23.605501,32.237106,33.099998,30.657685999999998,41.683234999999996
2017-08-03,105.233673,78.57251,77.54220600000001,52.072055999999996,98.165131,81.241089,48.570403999999996,50.245734999999996,58.142124,27.616778999999998,88.365463,46.844685,48.878555,107.45966299999999,48.396159999999995,101.04696700000001,49.820602,48.160118,47.794415,48.375122,73.018089,59.97955699999999,96.252342,92.668175,39.074581,48.793514,25.594473,100.5400,46.677170000000004,46.21703,23.601896,96.588882,48.41404,23.623358,32.228588,33.099998,30.657685999999998,41.683234999999996
2017-08-04,105.06123400000001,78.448082,77.484001,52.072055999999996,98.145821,81.021332,48.560749,50.169098,58.146972999999996,27.559471000000002,87.623215,46.787701,48.802071000000005,107.33398400000002,48.367302,101.009056,49.763008,48.121860999999996,47.638706,48.246753999999996,73.018089,59.548729,96.290459,92.581779,39.064896000000005,48.750145,25.464085,100.4400,46.686745,46.101849,23.578138,96.588882,48.290558000000004,23.5961,32.227638,33.099998,30.657685999999998,41.520042
2017-08-07,105.051643,78.476814,77.484001,52.043461,98.174789,81.069115,48.560749,50.178669,58.146972999999996,27.578575,87.764145,46.892162,48.830765,107.324326,48.367302,100.952187,49.77261,48.139069,47.578526000000004,48.256271000000005,72.99874100000001,59.62365,96.31905400000001,92.620171,39.084274,48.754959,25.370945000000003,100.5000,46.734608,46.07304,23.641172,96.588882,48.300056,23.572598,32.256031,33.099998,30.638035,41.520042
2017-08-08,104.95586399999999,78.37152900000001,77.474304,51.995808000000004,98.184448,80.91626,48.570403999999996,50.14994,58.151817,27.540369000000002,87.407089,46.787701,48.763821,107.266319,48.338436,100.791115,49.77261,48.074028000000006,47.659721000000005,48.161179,73.0084,59.389488,96.147499,92.600967,39.084274,48.735683,25.333689,100.4100,46.753757,46.034659999999995,23.579056,96.588882,48.195568,23.549095,32.218178,33.257999,30.638035,41.520042
2017-08-09,105.051643,78.428955,77.503395,52.081593,98.194092,81.002258,48.58007,50.178669,58.156651000000004,27.573801,87.46347,46.825699,48.792511,107.33398400000002,48.376915000000004,101.018532,49.849403,48.140995000000004,47.717045,48.227734000000005,72.99874100000001,59.548729,96.261887,92.69696,39.084274,48.770386,25.259173999999998,100.4200,46.677170000000004,46.044258,23.559872,96.588882,48.262062,23.544403,32.312801,33.257999,30.667510999999998,41.625628999999996
2017-08-10,105.157028,78.5438,77.551872,52.148308,98.194092,81.212425,48.58007,50.255322,58.146972999999996,27.621554999999997,87.980225,46.882664,48.821194,107.411324,48.367302,101.03746,49.801398999999996,48.116119,47.812569,48.256271000000005,73.0084,59.698574,96.366722,92.69696,39.084274,48.740497999999995,25.156727,100.3600,46.677170000000004,46.101849,23.468519,96.588882,48.242115000000005,23.524656,32.49258,33.349998,30.667510999999998,41.625628999999996
2017-08-11,105.243256,78.610786,77.610031,52.224564,98.203735,81.307953,48.58007,50.303207,58.156651000000004,27.616778999999998,87.886261,46.873169,48.868999,107.48867,48.415397999999996,101.321709,49.954994,48.131423999999996,47.860329,48.27528,73.018089,59.670471,96.157043,92.69696,39.084274,48.780029,25.342997,100.4100,46.696315999999996,46.034659999999995,23.450251,96.75395999999999,48.362743,23.527475,32.483124,33.349998,30.667510999999998,41.472038
2017-08-14,105.195343,78.553375,77.58094799999999,52.148308,98.203735,81.155098,48.58007,50.236156,58.156651000000004,27.621554999999997,87.68897199999999,46.892162,48.859446999999996,107.411324,48.396159999999995,101.217506,49.791801,48.083599,47.764804999999996,48.227734000000005,72.969727,59.614295999999996,96.157043,92.600967,39.026096,48.7164,25.342997,100.4300,46.696315999999996,46.025051,23.486794,96.59859499999999,48.319054,23.567898,32.530429999999996,33.349998,30.510292,41.520042
2017-08-15,105.042099,78.419388,77.503395,52.129246,98.203735,81.002258,48.589745,50.159515,58.156651000000004,27.573801,87.472862,46.835182,48.792511,107.275993,48.357681,100.96167,49.768761,48.083599,47.564194,48.180187,73.018089,59.483154000000006,96.24282099999999,92.600967,39.026096,48.677853000000006,25.287119,100.2900,46.686745,46.053852,23.441114000000002,96.59859499999999,48.191772,23.558498,32.530429999999996,33.349998,30.687162,41.520042
